Sl.No.,BO_MFClientID,DOB,InvestType,Paymentmode,FundType,MFNo,MFInvestment,Tenure,TenureInDays,Gender,ADDITIONALPRODUCTSPURCHASED,RFMID,Brokerage_Per_Day,Status
17141,182965,00:00.0,SIP,CHEQUE,ONGOING,1,0.0224,79686,79686,M,N,121,2.81E-07,Completed
17142,182968,00:00.0,SIP,CHEQUE,ONGOING,1,14432.6096,3342,3342,M,Y,132,4.318554638,Continuing
17143,182970,00:00.0,SIP,CHEQUE,ONGOING,8,958556.8298,158901,19862,M,Y,423,48.26084129,Continuing
17144,182971,00:00.0,SIP,CHEQUE,ONGOING,2,25990.7906,39194,19597,M,N,151,1.326263744,Continuing
17145,182972,00:00.0,SIP,CHEQUE,ONGOING,11,654041.6293,385098,35008,M,N,422,18.68263338,Continuing
17146,182973,00:00.0,SIP,CHEQUE,ONGOING,1,237547.8635,144645,144645,M,N,151,1.642281887,Completed
17147,183118,00:00.0,SIP,CHEQUE,ONGOING,1,73227.3843,15761,15761,F,N,122,4.646112829,Continuing
17148,183119,00:00.0,SIP,CHEQUE,ONGOING,1,12027.1977,1655,1655,M,N,251,7.267188943,Continuing
17149,183121,00:00.0,SIP,CHEQUE,ONGOING,1,43.8202,4520,4520,M,N,121,0.009694735,Continuing
17150,183123,00:00.0,SIP,CHEQUE,ONGOING,8,632062.0015,980220,122527,M,N,151,5.158552821,Completed
17151,183124,00:00.0,SIP,CHEQUE,ONGOING,4,2224758.755,595319,148829,M,N,151,14.94842239,Completed
17152,183125,00:00.0,SIP,CHEQUE,ONGOING,2,10279.7598,261151,130575,F,N,131,0.07872686,Completed
17153,183130,00:00.0,SIP,CHEQUE,ONGOING,5,890495.5275,274766,54953,M,Y,453,16.2046754,Continuing
17154,183131,00:00.0,SIP,CHEQUE,ONGOING,1,412687.4434,141781,141781,M,N,151,2.910738698,Completed
17155,183133,00:00.0,LUMSUM,CHEQUE,ONGOING,5,663830.824,160348,32069,M,N,151,20.70007871,Continuing
17156,183135,00:00.0,SIP,CHEQUE,ONGOING,2,273883.3899,141284,70642,F,Y,111,3.877061662,Completed
17157,183137,00:00.0,SIP,CHEQUE,ONGOING,1,51012.986,139109,139109,F,N,151,0.366712333,Completed
17158,183139,00:00.0,LUMSUM,CHEQUE,ONGOING,1,126699.276,21256,21256,M,N,151,5.960635868,Continuing
17159,183143,00:00.0,SIP,CHEQUE,ONGOING,2,798054.7095,283861,141930,M,Y,325,5.622875428,Completed
17160,183145,00:00.0,SIP,CHEQUE,ONGOING,1,369305.15,138850,138850,M,N,151,2.659741808,Completed
17161,183146,00:00.0,SIP,CHEQUE,ONGOING,12,11498989.29,1475262,122938,M,Y,222,93.53486546,Completed
17162,183147,00:00.0,SIP,CHEQUE,ONGOING,3,5951.1468,117372,39124,F,N,141,0.152109876,Continuing
17163,183150,00:00.0,SIP,CHEQUE,ONGOING,1,384317.415,137384,137384,F,N,151,2.79739573,Completed
17164,183151,00:00.0,SIP,CHEQUE,ONGOING,1,27336.6608,13446,13446,M,N,151,2.033070118,Continuing
17165,183164,00:00.0,SIP,CHEQUE,ONGOING,1,146087.83,10712,10712,M,N,151,13.63777353,Continuing
17166,183166,00:00.0,SIP,CHEQUE,ONGOING,4,37156.9039,640,160,M,N,453,232.2306494,Continuing
17167,583069,00:00.0,SIP,CHEQUE,ONGOING,6,355886.3059,19981,3330,M,N,111,106.8727645,Continuing
17168,183285,00:00.0,SIP,CHEQUE,ONGOING,3,2774106.977,458049,152683,M,Y,324,18.16906255,Completed
17169,183287,00:00.0,SIP,CHEQUE,ONGOING,1,258829.5391,158938,158938,F,N,151,1.628493747,Completed
17170,183288,00:00.0,SIP,CHEQUE,ONGOING,1,20630.5964,1567,1567,M,N,111,13.16566458,Continuing
17171,183291,00:00.0,SIP,CHEQUE,ONGOING,14,2354276.316,741277,52948,M,N,152,44.46393283,Continuing
17172,183293,00:00.0,LUMSUM,CHEQUE,ONGOING,6,3380651.794,316168,52694,M,N,152,64.15629472,Continuing
17173,183298,00:00.0,SIP,CHEQUE,ONGOING,1,263235.2736,141773,141773,M,N,151,1.856737698,Completed
17174,183301,00:00.0,LUMSUM,CHEQUE,ONGOING,1,162955.3956,259363,259363,M,N,151,0.628290834,Completed
17175,183307,00:00.0,SIP,CHEQUE,ONGOING,6,2035482.357,539462,89910,M,Y,525,22.63910974,Completed
17176,183308,00:00.0,LUMSUM,CHEQUE,ONGOING,4,60412.4482,118245,29561,M,N,151,2.04365374,Continuing
17177,183311,00:00.0,SIP,CHEQUE,ONGOING,1,1505.5481,35046,35046,M,N,121,0.042959199,Continuing
17178,183430,00:00.0,SIP,CHEQUE,ONGOING,4,265893.5071,292325,73081,M,Y,111,3.638339748,Completed
17179,183433,00:00.0,LUMSUM,CHEQUE,ONGOING,2,3041277.055,165565,82782,M,N,152,36.73838582,Completed
17180,183434,00:00.0,SIP,CHEQUE,ONGOING,9,441119.3401,293137,32570,M,N,422,13.54373166,Continuing
17181,183435,00:00.0,SIP,CHEQUE,ONGOING,1,325127.289,142039,142039,M,N,325,2.289000127,Completed
17182,183436,00:00.0,SIP,CHEQUE,ONGOING,1,7195.27,806,806,F,N,351,8.927133995,Continuing
17183,183437,00:00.0,SIP,CHEQUE,ONGOING,1,1162166.392,141777,141777,F,Y,223,8.197143346,Completed
17184,183440,00:00.0,SIP,CHEQUE,ONGOING,1,430947.0894,140045,140045,M,N,151,3.077204394,Completed
17185,183449,00:00.0,SIP,CHEQUE,ONGOING,3,88530.5764,447313,149104,M,N,151,0.593750512,Completed
17186,183459,00:00.0,SIP,CHEQUE,ONGOING,1,103.2323,44528,44528,M,N,121,0.002318368,Continuing
17187,183460,00:00.0,SIP,CHEQUE,ONGOING,4,213648.0501,83039,20759,M,N,151,10.29182765,Continuing
17188,183461,00:00.0,SIP,CHEQUE,ONGOING,1,236550.9497,145943,145943,M,N,151,1.62084478,Completed
17189,183465,00:00.0,SIP,CHEQUE,ONGOING,2,1240494.178,203037,101518,M,N,151,12.21945052,Completed
17190,183470,00:00.0,SIP,CHEQUE,ONGOING,1,462993.8789,106435,106435,M,Y,323,4.350015304,Completed
17191,183474,00:00.0,SIP,CHEQUE,ONGOING,1,118488.3222,2240,2240,M,N,152,52.89657241,Continuing
17192,183475,00:00.0,SIP,CHEQUE,ONGOING,1,124474.496,143691,143691,F,N,151,0.866265083,Completed
17193,183476,00:00.0,SIP,CHEQUE,ONGOING,16,1570784.655,1942954,121434,F,Y,111,12.93529534,Completed
17194,183478,00:00.0,SIP,CHEQUE,ONGOING,1,0.1578,90513,90513,M,Y,111,1.74E-06,Completed
17195,183552,00:00.0,SIP,CHEQUE,ONGOING,9,522180.24,122763,13640,M,N,152,38.2830088,Continuing
17196,183554,00:00.0,SIP,CHEQUE,ONGOING,3,852967.8953,144287,48095,M,Y,412,17.73506384,Continuing
17197,183556,00:00.0,SIP,CHEQUE,ONGOING,1,2442.8449,4757,4757,M,N,151,0.513526361,Continuing
17198,183559,00:00.0,SIP,CHEQUE,ONGOING,2,11133.0246,27310,13655,M,N,151,0.81530755,Continuing
17199,183561,00:00.0,SIP,CHEQUE,ONGOING,1,1328929.277,125609,125609,M,N,151,10.579889,Completed
17200,183565,00:00.0,LUMSUM,CHEQUE,ONGOING,7,3312217.109,800425,114346,M,N,152,28.96661981,Completed
17201,183567,00:00.0,SIP,CHEQUE,ONGOING,2,328110.4432,80336,40168,M,N,151,8.168453575,Continuing
17202,159126,00:00.0,SIP,CHEQUE,ONGOING,6,910628.7632,783563,130593,M,Y,122,6.9730289,Completed
17203,127651,00:00.0,SIP,CHEQUE,ONGOING,4,71789.7799,436650,109162,M,N,111,0.657644417,Completed
17204,127709,00:00.0,LUMSUM,CHEQUE,NFO,7,1031281.557,263538,37648,M,Y,152,27.39273154,Continuing
17205,179948,00:00.0,LUMSUM,CHEQUE,ONGOING,3,958376.8363,625098,208366,F,N,151,4.599487615,Completed
17206,173510,00:00.0,SIP,CHEQUE,ONGOING,1,168237.4499,120666,120666,M,Y,151,1.394240713,Completed
17207,127769,00:00.0,LUMSUM,CHEQUE,NFO,1,18773.4613,0,0,M,Y,522,inf,Stopped
17208,127771,00:00.0,SIP,CHEQUE,ONGOING,1,20856.9532,106121,106121,F,Y,533,0.196539358,Completed
17209,127772,00:00.0,SIP,CHEQUE,ONGOING,1,12744.3258,72333,72333,M,N,322,0.176189648,Completed
17210,127786,00:00.0,SIP,CHEQUE,ONGOING,1,33779.1213,179959,179959,M,N,141,0.18770454,Completed
17211,127790,00:00.0,LUMSUM,CHEQUE,ONGOING,1,13889.8532,19717,19717,F,Y,322,0.70446078,Continuing
17212,127792,00:00.0,LUMSUM,CHEQUE,NFO,5,393250.1049,6457,1291,M,N,533,304.6089116,Continuing
17213,127794,00:00.0,LUMSUM,CHEQUE,ONGOING,3,299556.2286,109062,36354,M,N,151,8.239979881,Continuing
17214,127795,00:00.0,LUMSUM,CHEQUE,ONGOING,6,151655.2748,125049,20841,F,Y,523,7.276775337,Continuing
17215,127800,00:00.0,LUMSUM,CHEQUE,ONGOING,5,121633.7286,348060,69612,M,N,151,1.747309783,Completed
17216,127805,00:00.0,SIP,CHEQUE,ONGOING,4,296127.1898,237917,59479,F,N,151,4.978684743,Continuing
17217,127815,00:00.0,SIP,CHEQUE,ONGOING,1,14787.8009,7,7,M,N,555,2112.542986,Continuing
17218,127817,00:00.0,LUMSUM,CHEQUE,NFO,10,463769.2749,24188,2418,M,Y,543,191.7987076,Continuing
17219,127820,00:00.0,SIP,CHEQUE,ONGOING,6,616868.9401,422062,70343,M,N,151,8.769443159,Completed
17220,127823,00:00.0,LUMSUM,CHEQUE,NFO,8,2011796.714,346190,43273,M,Y,522,46.49080753,Continuing
17221,127824,00:00.0,SIP,CHEQUE,ONGOING,5,495425.6018,409573,81914,M,Y,535,6.048118781,Completed
17222,127826,00:00.0,SIP,DD,ONGOING,4,1641510.293,212668,53167,F,N,152,30.87460817,Continuing
17223,127830,00:00.0,LUMSUM,CHEQUE,NFO,4,172601.0712,24624,6156,F,N,152,28.03786082,Continuing
17224,127832,00:00.0,SIP,CHEQUE,ONGOING,1,87179.9385,1230,1230,M,N,345,70.87799878,Continuing
17225,127837,00:00.0,LUMSUM,CHEQUE,ONGOING,18,35087745.69,675963,37553,F,Y,111,934.3526667,Continuing
17226,127839,00:00.0,LUMSUM,CHEQUE,ONGOING,11,863024.774,187493,17044,M,Y,532,50.6351076,Continuing
17227,127842,00:00.0,LUMSUM,CHEQUE,NFO,8,1002650.994,231157,28894,M,Y,522,34.70101039,Continuing
17228,127843,00:00.0,LUMSUM,CHEQUE,ONGOING,4,221382.6933,88828,22207,M,Y,533,9.969049998,Continuing
17229,127848,00:00.0,LUMSUM,CHEQUE,NFO,13,1019261.04,305453,23496,F,Y,532,43.38019405,Continuing
17230,127850,00:00.0,SIP,CHEQUE,ONGOING,4,16948.3287,132018,33004,M,N,151,0.513523473,Continuing
17231,127855,00:00.0,SIP,CHEQUE,ONGOING,2,217553.9062,59983,29991,M,N,151,7.253973065,Continuing
17232,127857,00:00.0,SIP,CHEQUE,ONGOING,2,210582.6356,558064,279032,M,Y,522,0.754689912,Completed
17233,181212,00:00.0,SIP,CHEQUE,ONGOING,2,198160.4677,134797,67398,M,Y,322,2.940153531,Completed
17234,127882,00:00.0,LUMSUM,CHEQUE,ONGOING,3,398965.5824,27665,9221,F,Y,343,43.2670624,Continuing
17235,127897,00:00.0,SIP,CHEQUE,ONGOING,1,2963.9206,52566,52566,M,N,131,0.056384747,Continuing
17236,127900,00:00.0,SIP,CHEQUE,ONGOING,1,17413.4009,1470,1470,M,N,123,11.84585095,Continuing
17237,127901,00:00.0,SIP,CHEQUE,ONGOING,2,315297.9029,98540,49270,M,N,151,6.399389139,Continuing
17238,127906,00:00.0,SIP,CHEQUE,ONGOING,3,42832.0869,305,101,M,N,454,424.0800683,Continuing
17239,127908,00:00.0,SIP,CHEQUE,ONGOING,1,28988.19,287313,287313,M,N,141,0.100894112,Completed
17240,127912,00:00.0,SIP,CHEQUE,ONGOING,1,3890.5491,7744,7744,M,N,151,0.502395287,Continuing
17241,127913,00:00.0,SIP,CHEQUE,ONGOING,1,63177.3815,17186,17186,F,N,121,3.676095747,Continuing
17242,127914,00:00.0,SIP,CHEQUE,ONGOING,1,340708.3194,165091,165091,M,N,151,2.06376071,Completed
17243,127916,00:00.0,SIP,CHEQUE,ONGOING,1,194539.8573,53798,53798,M,N,151,3.616116906,Continuing
17244,223851,00:00.0,SIP,CHEQUE,ONGOING,2,53238.8399,131793,65896,M,Y,151,0.807922179,Completed
17245,159940,00:00.0,SIP,CHEQUE,ONGOING,1,437755.7725,21586,21586,M,Y,123,20.27961514,Continuing
17246,181788,00:00.0,SIP,CHEQUE,ONGOING,5,2197898.011,415491,83098,F,Y,543,26.44946943,Completed
17247,127941,00:00.0,SIP,CHEQUE,ONGOING,1,18940.7008,4004,4004,M,N,151,4.730444755,Continuing
17248,127970,00:00.0,SIP,CHEQUE,ONGOING,1,2579.799,34932,34932,M,N,131,0.073852027,Continuing
17249,127972,00:00.0,SIP,CHEQUE,ONGOING,1,497372.4562,175557,175557,M,N,151,2.833110934,Completed
17250,127986,00:00.0,SIP,CHEQUE,ONGOING,1,6443.1606,2959,2959,F,N,151,2.177479081,Continuing
17251,127988,00:00.0,SIP,CHEQUE,ONGOING,1,35176.0892,9611,9611,F,Y,134,3.659982229,Continuing
17252,127993,00:00.0,SIP,CHEQUE,ONGOING,3,7495.4055,31687,10562,M,N,151,0.709657783,Continuing
17253,127994,00:00.0,SIP,CHEQUE,ONGOING,1,283481.2327,186716,186716,F,N,151,1.51824821,Completed
17254,127996,00:00.0,SIP,CHEQUE,ONGOING,5,1765779.824,523262,104652,M,Y,533,16.87287222,Completed
17255,128001,00:00.0,LUMSUM,CHEQUE,ONGOING,1,194646.7113,6146,6146,M,Y,425,31.67047044,Continuing
17256,128002,00:00.0,SIP,CHEQUE,ONGOING,6,2505396.584,375285,62547,M,Y,122,40.05622306,Continuing
17257,128006,00:00.0,SIP,CHEQUE,ONGOING,2,3754.4036,19438,9719,M,Y,122,0.386295257,Continuing
17258,231130,00:00.0,LUMSUM,CHEQUE,ONGOING,5,312701.8744,8682,1736,M,Y,524,180.1278078,Continuing
17259,307691,00:00.0,SIP,CHEQUE,ONGOING,4,747139.5851,557800,139450,F,N,111,5.357759664,Completed
17260,197122,00:00.0,SIP,CHEQUE,ONGOING,1,9534.2699,27422,27422,M,Y,111,0.34768689,Continuing
17261,182023,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,1,21593.0227,5590,5590,M,N,111,3.862794758,Continuing
17262,128009,00:00.0,LUMSUM,CHEQUE,ONGOING,4,799023.6259,546129,136532,M,Y,553,5.852280974,Completed
17263,128013,00:00.0,SIP,CHEQUE,ONGOING,7,253898.9579,702390,100341,M,Y,252,2.530361048,Completed
17264,161948,00:00.0,LUMSUM,CHEQUE,NFO,10,145737.7514,7760,776,M,Y,321,187.8063807,Continuing
17265,128704,00:00.0,SIP,CHEQUE,ONGOING,3,330253.1892,208486,69495,F,N,151,4.752186333,Completed
17266,128014,00:00.0,SIP,CHEQUE,ONGOING,1,246817.8538,185852,185852,M,N,151,1.328034424,Completed
17267,128015,00:00.0,SIP,CHEQUE,ONGOING,1,246614.9903,186230,186230,M,N,151,1.324249532,Completed
17268,128016,00:00.0,SIP,CHEQUE,ONGOING,1,3389.2985,18021,18021,M,N,141,0.18807494,Continuing
17269,128017,00:00.0,SIP,CHEQUE,ONGOING,2,1762982.815,285974,142987,M,N,151,12.32967203,Completed
17270,128019,00:00.0,SIP,CHEQUE,ONGOING,2,1155087.124,371733,185866,M,N,151,6.214623027,Completed
17271,128023,00:00.0,SIP,CHEQUE,ONGOING,2,541478.858,291388,145694,M,Y,325,3.71654878,Completed
17272,129994,00:00.0,SIP,CHEQUE,ONGOING,6,1783784.311,296462,49410,M,Y,152,36.10168612,Continuing
17273,128402,00:00.0,LUMSUM,CHEQUE,ONGOING,6,844673.1871,135563,22593,M,Y,244,37.38649967,Continuing
17274,217258,00:00.0,SIP,CHEQUE,ONGOING,5,842363.7509,248688,49737,F,Y,422,16.93636027,Continuing
17275,189074,00:00.0,SIP,CHEQUE,ONGOING,2,680989.1794,228715,114357,F,Y,322,5.954940925,Completed
17276,145881,00:00.0,SIP,CHEQUE,ONGOING,7,124981.5909,75339,10762,M,N,322,11.6132309,Continuing
17277,161431,00:00.0,SIP,CHEQUE,ONGOING,6,4200274.98,401806,66967,F,Y,524,62.72156406,Completed
17278,152873,00:00.0,SIP,CHEQUE,ONGOING,1,60272.1043,54040,54040,M,N,122,1.115323914,Continuing
17279,128062,00:00.0,LUMSUM,CHEQUE,ONGOING,1,141827.3678,4204,4204,M,N,152,33.7362911,Continuing
17280,128063,00:00.0,LUMSUM,CHEQUE,ONGOING,1,401260.1803,2734,2734,M,Y,153,146.7667082,Continuing
17281,128064,00:00.0,SIP,CHEQUE,ONGOING,2,399217.0803,224965,112482,M,Y,543,3.549164136,Completed
17282,128065,00:00.0,LUMSUM,CHEQUE,ONGOING,1,141827.3678,4204,4204,F,N,152,33.7362911,Continuing
17283,128066,00:00.0,SIP,CHEQUE,ONGOING,1,28524.5225,30983,30983,M,Y,523,0.92065076,Continuing
17284,128068,00:00.0,SIP,CHEQUE,ONGOING,11,544401.434,1248145,113467,M,Y,122,4.797883385,Completed
17285,128072,00:00.0,LUMSUM,CHEQUE,ONGOING,1,4991256.418,139117,139117,M,N,213,35.87811998,Completed
17286,128073,00:00.0,SIP,CHEQUE,ONGOING,2,26140.0667,27110,13555,M,N,151,1.928444611,Continuing
17287,128081,00:00.0,SIP,CHEQUE,ONGOING,1,605326.1892,185822,185822,F,Y,243,3.257559327,Completed
17288,128082,00:00.0,SIP,CHEQUE,ONGOING,15,496019.1343,1611767,107451,M,Y,122,4.616235626,Completed
17289,128083,00:00.0,SIP,CHEQUE,ONGOING,3,696119.4899,478190,159396,M,N,151,4.367233117,Completed
17290,128086,00:00.0,SIP,CHEQUE,ONGOING,13,4882587.019,1450494,111576,F,N,152,43.76019053,Completed
17291,128089,00:00.0,LUMSUM,CHEQUE,ONGOING,1,1344812.538,156314,156314,M,N,151,8.603276343,Completed
17292,128128,00:00.0,LUMSUM,CHEQUE,ONGOING,5,763338.7642,7317,1463,M,N,255,521.762655,Continuing
17293,189237,00:00.0,LUMSUM,CHEQUE,ONGOING,12,3312970.26,1321610,110134,M,Y,525,30.08126701,Completed
17294,164973,00:00.0,SIP,CHEQUE,ONGOING,11,2724121.109,322553,29323,M,Y,553,92.90049137,Continuing
17295,128102,00:00.0,SIP,CHEQUE,ONGOING,9,629674.7148,659072,73230,F,N,151,8.598589578,Completed
17296,128103,00:00.0,SIP,CHEQUE,ONGOING,5,1562025.177,452800,90560,M,Y,522,17.24851123,Completed
17297,224675,00:00.0,SIP,CHEQUE,ONGOING,3,43423.8344,105797,35265,F,N,151,1.231357845,Continuing
17298,128137,00:00.0,LUMSUM,CHEQUE,ONGOING,4,208734.7346,369317,92329,M,N,151,2.260771097,Completed
17299,128138,00:00.0,SIP,CHEQUE,ONGOING,13,2511996.471,1239509,95346,M,N,152,26.3461128,Completed
17300,128139,00:00.0,SIP,CHEQUE,ONGOING,7,15666.3424,544041,77720,M,Y,555,0.201574143,Completed
17301,128140,00:00.0,SIP,CHEQUE,ONGOING,1,0.0038,74673,74673,M,N,121,5.09E-08,Completed
17302,166377,00:00.0,SIP,CHEQUE,ONGOING,1,16465.7539,4413,4413,M,Y,323,3.731192817,Continuing
17303,128143,00:00.0,SIP,CHEQUE,ONGOING,1,108328.7091,193739,193739,M,N,144,0.559147663,Completed
17304,128147,00:00.0,SIP,CHEQUE,ONGOING,7,689991.514,379705,54243,M,N,151,12.72037892,Continuing
17305,128151,00:00.0,LUMSUM,CHEQUE,ONGOING,1,1649471.295,353436,353436,F,N,151,4.666958927,Completed
17306,128152,00:00.0,SIP,CHEQUE,ONGOING,1,22286.3161,197780,197780,M,N,141,0.112682355,Completed
17307,128156,00:00.0,SIP,CHEQUE,ONGOING,4,978862.7986,282064,70516,M,N,151,13.88142831,Completed
17308,128169,00:00.0,SIP,CHEQUE,ONGOING,2,161204.7725,307072,153536,M,Y,111,1.049947716,Completed
17309,128174,00:00.0,SIP,CHEQUE,ONGOING,1,13287.5977,62740,62740,M,N,123,0.211788296,Continuing
17310,128177,00:00.0,LUMSUM,CHEQUE,ONGOING,3,485442.505,460602,153534,M,N,151,3.161791558,Completed
17311,232472,00:00.0,SIP,CHEQUE,ONGOING,6,77133.2814,15390,2565,M,Y,155,30.07145474,Continuing
17312,128351,00:00.0,SIP,CHEQUE,ONGOING,1,250240.6701,179622,179622,M,Y,222,1.393151563,Completed
17313,128245,00:00.0,SIP,CHEQUE,ONGOING,1,66402.1408,52944,52944,M,Y,435,1.254195769,Continuing
17314,128246,00:00.0,SIP,CHEQUE,ONGOING,1,1.2759,69409,69409,M,N,122,1.84E-05,Completed
17315,128247,00:00.0,SIP,DD,ONGOING,1,172503.5613,49557,49557,M,N,111,3.480912107,Continuing
17316,128256,00:00.0,SIP,CHEQUE,ONGOING,4,129840.207,29235,7308,M,N,151,17.7668592,Continuing
17317,128258,00:00.0,LUMSUM,CHEQUE,ONGOING,10,1150126.224,273539,27353,M,N,152,42.04753495,Continuing
17318,128261,00:00.0,SIP,CHEQUE,ONGOING,3,33996.1452,102259,34086,M,N,151,0.99736388,Continuing
17319,128268,00:00.0,SIP,CHEQUE,ONGOING,3,2279619.063,205192,68397,M,N,152,33.32922589,Completed
17320,128270,00:00.0,LUMSUM,CHEQUE,ONGOING,6,359021.2036,27250,4541,F,N,152,79.06214569,Continuing
17321,128272,00:00.0,LUMSUM,CHEQUE,NFO,3,1696731.894,510318,170106,F,N,151,9.974556418,Completed
17322,77050,00:00.0,SIP,CHEQUE,ONGOING,16,4847463.674,330408,20650,M,Y,545,234.7440036,Continuing
17323,77361,00:00.0,LUMSUM,CHEQUE,ONGOING,7,5730708.057,339375,48482,F,Y,325,118.2027981,Continuing
17324,321941,00:00.0,SIP,CHEQUE,ONGOING,2,92452.0072,31041,15520,M,N,151,5.956959227,Continuing
17325,321943,00:00.0,SIP,CHEQUE,ONGOING,5,1667445.077,318038,63607,M,N,152,26.21480461,Continuing
17326,321947,00:00.0,SIP,CHEQUE,ONGOING,4,50838.1525,5356,1339,M,N,252,37.96725355,Continuing
17327,321948,00:00.0,SIP,CHEQUE,ONGOING,2,377826.4787,252162,126081,M,N,151,2.996696399,Completed
17328,321958,00:00.0,SIP,CHEQUE,ONGOING,6,145755.1436,126589,21098,M,N,151,6.908481543,Continuing
17329,321959,00:00.0,SIP,CHEQUE,ONGOING,1,3784.8034,1395,1395,M,N,251,2.713120717,Continuing
17330,321961,00:00.0,SIP,CHEQUE,ONGOING,1,6584.6124,22892,22892,F,N,151,0.287638144,Continuing
17331,321964,00:00.0,LUMSUM,CHEQUE,ONGOING,1,205761.7159,46889,46889,M,N,151,4.388272642,Continuing
17332,321965,00:00.0,SIP,CHEQUE,ONGOING,8,1928120.475,513682,64210,M,N,152,30.02835188,Continuing
17333,321966,00:00.0,SIP,CHEQUE,ONGOING,1,456.8146,3178,3178,M,N,141,0.143742794,Continuing
17334,321968,00:00.0,SIP,CHEQUE,ONGOING,18,3886229.072,309999,17222,F,N,153,225.6549223,Continuing
17335,321972,00:00.0,SIP,CHEQUE,ONGOING,1,13106.1083,643,643,F,N,422,20.38275008,Continuing
17336,321973,00:00.0,SIP,CHEQUE,ONGOING,5,3087171.877,162999,32599,M,N,152,94.7014288,Continuing
17337,321975,00:00.0,SIP,CHEQUE,ONGOING,3,885341.7092,352962,117654,M,N,151,7.524960556,Completed
17338,321981,00:00.0,SIP,CHEQUE,ONGOING,1,4369.0539,2925,2925,M,N,111,1.493693641,Continuing
17339,321982,00:00.0,SIP,CHEQUE,ONGOING,2,455252.9271,82274,41137,F,N,151,11.06675079,Continuing
17340,321986,00:00.0,SIP,CHEQUE,ONGOING,4,116819.6548,53668,13417,F,N,151,8.706838697,Continuing
17341,321989,00:00.0,SIP,CHEQUE,ONGOING,3,334615.2036,318963,106321,M,N,111,3.147216482,Completed
17342,321992,00:00.0,SIP,CHEQUE,ONGOING,6,480719.18,234228,39038,M,N,151,12.31413443,Continuing
17343,322070,00:00.0,LUMSUM,CHEQUE,ONGOING,11,10823116.3,762934,69357,F,Y,111,156.0493721,Completed
17344,322071,00:00.0,LUMSUM,CHEQUE,ONGOING,1,32.5335,281,281,M,Y,522,0.11577758,Continuing
17345,322074,00:00.0,LUMSUM,CHEQUE,ONGOING,1,55652.9832,2013,2013,F,N,152,27.64678748,Continuing
17346,322110,00:00.0,SIP,CHEQUE,ONGOING,1,49851.7396,9591,9591,M,N,151,5.197762444,Continuing
17347,322113,00:00.0,SIP,CHEQUE,ONGOING,1,903624.8962,97767,97767,F,N,151,9.242637047,Completed
17348,322114,00:00.0,SIP,CHEQUE,ONGOING,1,97726.5909,3729,3729,M,N,152,26.20718447,Continuing
17349,322115,00:00.0,SIP,CHEQUE,ONGOING,1,157545.1115,124511,124511,F,N,151,1.265310788,Completed
17350,322228,00:00.0,SIP,CHEQUE,ONGOING,1,20.8413,15995,15995,F,N,121,0.001302988,Continuing
17351,322231,00:00.0,SIP,CHEQUE,ONGOING,11,587925.4585,370595,33690,M,N,151,17.45103765,Continuing
17352,322233,00:00.0,LUMSUM,CHEQUE,ONGOING,6,582488.7641,199879,33313,M,N,151,17.48532897,Continuing
17353,322235,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,5,1512881.86,550767,110153,F,N,151,13.7343682,Completed
17354,322237,00:00.0,SIP,CHEQUE,ONGOING,1,7851.9393,3946,3946,F,N,151,1.98984777,Continuing
17355,322238,00:00.0,SIP,CHEQUE,ONGOING,2,50932.4606,66727,33363,M,N,151,1.526615131,Continuing
17356,322240,00:00.0,SIP,CHEQUE,ONGOING,2,260822.918,164746,82373,M,N,151,3.166364197,Completed
17357,322241,00:00.0,SIP,CHEQUE,ONGOING,1,3033.8267,19765,19765,M,N,141,0.1534949,Continuing
17358,322242,00:00.0,SIP,CHEQUE,ONGOING,7,783829.1048,218417,31202,M,N,422,25.12111739,Continuing
17359,322243,00:00.0,SIP,CHEQUE,ONGOING,2,656.6734,184229,92114,M,N,121,0.007128921,Completed
17360,322245,00:00.0,SIP,CHEQUE,ONGOING,2,121453.1204,36829,18414,M,N,151,6.595694602,Continuing
17361,322247,00:00.0,SIP,CHEQUE,ONGOING,1,374420.0289,116560,116560,M,Y,422,3.212251449,Completed
17362,322252,00:00.0,LUMSUM,CHEQUE,ONGOING,1,2357786.182,249440,249440,M,N,151,9.452317921,Completed
17363,322256,00:00.0,SIP,CHEQUE,ONGOING,1,27730.3653,138654,138654,M,N,141,0.199996865,Completed
17364,322258,00:00.0,SIP,CHEQUE,ONGOING,1,20453.1468,71527,71527,F,N,151,0.285950016,Completed
17365,322260,00:00.0,SIP,CHEQUE,ONGOING,2,653029.4311,117310,58655,M,Y,421,11.13339751,Continuing
17366,322264,00:00.0,SIP,CHEQUE,ONGOING,1,2360.7631,666,666,F,Y,322,3.544689339,Continuing
17367,322265,00:00.0,SIP,DD,ONGOING,1,13703.8919,2233,2233,F,N,151,6.136986968,Continuing
17368,322266,00:00.0,LUMSUM,CHEQUE,ONGOING,5,730389.7897,123064,24612,M,Y,422,29.67616568,Continuing
17369,322267,00:00.0,SIP,CHEQUE,ONGOING,1,15446.4515,113176,113176,M,N,141,0.136481688,Completed
17370,322270,00:00.0,SIP,CHEQUE,ONGOING,1,13490.6288,49870,49870,M,N,151,0.270515917,Continuing
